isbn,title,first published,format,notes,collections,status,type,moods,themes
9780985295208,geek prayers,2008,"32p, A6 collection","geek prayer #4, 9, 17, 22 also A3 foldouts",Geek Prayers,active,collection,"contemplative, ritualistic, ironic","technology, spirituality, code-as-prayer"
9780985295215,sniper rifle,2008,A3 foldout,,Coalface,active,A3 foldout,"tense, violent, surreal","war, masculinity, absurdity"
9780985295222,"inorganic 1, 2, 3.",2008,"12p, A5","Also A3 foldout #1, 2, 3.",Mixture of Wishes,active,A3 foldout,"detached, clinical, observational","industry, alienation, systems"
9780985295239,first friday out,2008,A5 foldout + A5 10p booklet,,fiddlesticks,active,foldout,"wistful, nostalgic, fleeting","work, release, ritual"
9780985295246,grist,2008,"48p, A5",38 poem collection,,active,collection,"weary, rhythmic, grounded","labour, repetition, survival"
,12 steps / microsoft addict,2008,A5 foldout + A5 10p booklet,,fiddlesticks,active,foldout,"self-aware, ironic, anxious","addiction, tech, identity"
9780985295260,"matt is a geek, 13.",2008,A5 foldout + A5 10p booklet,,fiddlesticks,active,foldout,"proud, defiant, youthful","identity, nerd culture, belonging"
9780985295277,up through the gears,2008,A5 foldout + A5 10p booklet,,fiddlesticks,active,foldout,"kinetic, striving, mechanical","progress, effort, motion"
9780985295284,a mixture of wishes,2008,"44p, A3/A4/A5",36 poem collection,Mixture of Wishes,active,collection,"melancholy, hopeful, fragmented","desire, loss, longing"
,nice things,2008,A3 foldout,,Mixture of Wishes,active,foldout,"bittersweet, ironic, tender","small joys, irony, everyday beauty"
,"not sleeping, eh?",2009,A3 foldout,,Mixture of Wishes,active,foldout,"insomniac, restless, intimate","anxiety, night, connection"
9780986459511,BOXSETS + POETRY BRICKS,2009,A3 poems in boxes,"10, 12, 15, 20, 25 poems",Poetry in a Box,active,boxset,"playful, conceptual, tactile","form, materiality, distribution"
,curious diets,2009,A3 foldout,,Mixture of Wishes,active,foldout,"absurd, satirical, bodily","consumption, control, body"
,hydrosliding,2009,A3 foldout,,Overdraft,active,foldout,"fluid, unstable, precarious","debt, balance, collapse"
,tepid pool,2009,A3 foldout,,Mixture of Wishes,active,foldout,"apathetic, stagnant, ironic","indifference, waiting, inertia"
,machine shop,2009,A3 foldout,,Mixture of Wishes + Pastoral,active,foldout,"industrial, rhythmic, grounded","labour, machinery, rural industry"
,speed of sound,2009,A3 foldout,,Mixture of Wishes,active,foldout,"urgent, fast, transient","velocity, communication, rupture"
,"sad dog, happy dog",2009,A3 foldout,,Best Friend,active,foldout,"tender, mournful, loyal","animals, companionship, grief"
9780986459580,why i am copyleft,2009,A5 foldout,,fiddlesticks,active,foldout,"defiant, political, principled","open source, resistance, ethics"
,bigger picture,2009,A3 foldout,,Mixture of Wishes,active,foldout,"reflective, distanced, philosophical","perspective, scale, meaning"
9780987654908,kibble,2010,"46p, A5 & A6",30 poem collection,,active,collection,"crumbly, fragmented, everyday","scraps, survival, minimalism"
,datura,2010,A3 foldout,55 5-Minute poems collection,5-Minute Poems,active,foldout,"hallucinatory, dreamlike, dangerous","toxicity, altered states, risk"
9780987654922,barcode,2010,"46p, A5",32 poem collection,,wip,collection,"systematic, coded, detached","surveillance, identity, data"
9780987654939,where you at bro? (Auto-bio note #9),2010,A5 foldout + A5 10p booklet,Became Autobio Note 9,Fiddlesticks + Coalface,active,foldout,"casual, urgent, fraternal","friendship, location, connection"
,good wish list #8,2010,A3 foldout,,Mixture of Wishes,active,foldout,"hopeful, ironic, fragile","desire, futility, kindness"
,inconsolable,2010,A3 foldout,,Mixture of Wishes,active,foldout,"grieving, raw, unredeemed","loss, mourning, isolation"
,migration,2010,A3 foldout,,Coalface,active,foldout,"weary, inevitable, moving","displacement, labour, journey"
,optimist,2010,A3 foldout,,Mixture of Wishes,active,foldout,"ironic, fragile, hopeful","resilience, doubt, perseverance"
,if you ask,2010,A3 foldout,,Coalface,active,foldout,"guarded, conditional, wary","trust, vulnerability, silence"
,motherly advice,2010,A3 foldout,,Mixture of Wishes,active,foldout,"warm, nostalgic, instructive","family, care, memory"
9780987667601,coffee x5,2011,"A3 foldout, A5 12p",5 poem collection,,active,foldout+booklet,"ritualistic, habitual, caffeinated","routine, repetition, small comforts"
,how to be a hen,2011,A3 foldout,,Pastoral,active,foldout,"absurd, instructional, rural","animals, domesticity, survival"
,rural interlude,2011,A3 foldout,,Pastoral,active,foldout,"peaceful, temporary, observational","countryside, pause, reflection"
,death of Mrs. Stalin,2011,A3 foldout,,Pastoral,active,foldout,"surreal, darkly comic, absurd","history, myth, rural legend"
,a poetical aside,2011,A3 foldout,,Coalface,active,foldout,"wry, meta, self-aware","poetry, craft, interruption"
,"speak, act, fantail",2011,A3 foldout,,Pastoral,active,foldout,"urgent, fragmented, ecological","nature, communication, birds"
,hiatus,2011,A3 foldout,,Coalface,active,foldout,"quiet, suspended, waiting","pause, rest, breath"
9780987667670,what is the rub?,2011,A5 foldout + A5 10p booklet,,fiddlesticks,active,foldout,"frustrated, interrogative, sharp","conflict, friction, struggle"
,taumarunui railway station #1,2011,A3 foldout,,You Sleep Uphill,active,foldout,"lonely, liminal, observational","transit, small towns, waiting"
,taumarunui railway station #7,2011,A3 foldout,,Mixture of Wishes,active,foldout,"nostalgic, specific, quiet","place, memory, journey"
,ache / burn / long,2012,A3 foldout,,Pastoral,active,foldout,"aching, persistent, physical","pain, endurance, body"
,the process,2012,A3 foldout,,Coalface,active,foldout,"methodical, relentless, procedural","work, systems, repetition"
,determination,2012,A3 foldout,,Mixture of Wishes + Coalface,active,foldout,"resolute, stubborn, focused","will, effort, survival"
,watching things fall apart,2012,A3 foldout,,Coalface,active,foldout,"helpless, observational, sad","decay, collapse, witnessing"
,locks/cops,2012,A3 foldout,,Mixture of Wishes,active,foldout,"paranoid, tense, surveilled","control, authority, resistance"
,dinner / not!,2012,A3 foldout,,Mixture of Wishes,active,foldout,"frustrated, abrupt, domestic","family, conflict, refusal"
,retrospective,2012,A3 foldout,,Mixture of Wishes,active,foldout,"reflective, distant, evaluative","memory, time, self"
,two!,2012,A3 foldout,"2 poems; New editions 2016, 2021",,active,foldout,"minimal, emphatic, dual","duality, contrast, brevity"
,geek prayer #4,2013,A3 foldout,,Geek Prayers,active,foldout,"ritualistic, devotional, digital","code, faith, repetition"
,geek prayer #9,2013,A3 foldout,,Geek Prayers,active,foldout,"ritualistic, devotional, digital","code, faith, repetition"
,minimum wage slaves,2013,A3 foldout,,fiddlesticks,active,foldout,"angry, defiant, exploited","labour, class, resistance"
9781067073732,fiddlesticks,2013,"36p, A5",14 poem/rants collection New 2025 edition,fiddlesticks,active,collection,"frenetic, ranting, energetic","anger, absurdity, protest"
,a small crisis of mid-career confidence,2013,"12p, A6",1 poem; Also Compound Press 2018,,active,booklet,"anxious, self-doubting, wry","identity, creativity, doubt"
,today / contents of pockets,2013,"16p, A6",2 poems,Pastoral,active,booklet,"intimate, observational, tactile","everyday, self, materiality"
,beach scene #25,2013,A3 foldout,,Mixture of Wishes,active,foldout,"still, reflective, coastal","nature, memory, pause"
,broken / embrace,2013,A3 foldout,,,active,foldout,"contradictory, tender, fractured","love, damage, intimacy"
,mixed intellects,2013,A3 foldout,,Mixture of Wishes,active,foldout,"confused, collaborative, chaotic","thought, dialogue, dissonance"
,morning tea #3-5,2013,A3 foldout,2 poems,,active,foldout,"domestic, routine, quiet","ritual, pause, connection"
,pause / refresh,2013,A3 foldout,,,active,foldout,"digital, breathless, temporary","technology, rest, reboot"
,android app#1 nicotine addicts,2013,A3 foldout,12p A6,Fiddlesticks,active,foldout,"addicted, mechanical, ironic","habit, tech, dependency"
,perfect fit,2013,A3 foldout,,You Sleep Uphill,active,foldout,"tender, resolved, intimate","love, belonging, connection"
,the fear,2013,A3 foldout,,You Sleep Uphill,active,foldout,"dread, anticipatory, bodily","anxiety, vulnerability, presence"
,trigger,2013,A3 foldout,,Mixture of Wishes,active,foldout,"reactive, sudden, psychological","trauma, memory, response"
,vote,2014,A3 foldout,,You Sleep Uphill,active,foldout,"urgent, civic, fragile","democracy, hope, agency"
,geek prayer #17,2014,A3 foldout,,Geek Prayers,active,foldout,"ritualistic, devotional, digital","code, faith, repetition"
,bodies,2014,A3 foldout,,Pastoral + Sleep Uphill,active,foldout,"physical, present, vulnerable","body, intimacy, mortality"
9780985295208,geek prayers 3rd edition,2014,36p A6,IBM punchcard cover,Geek Prayers,active,collection,"mechanical, sacred, nostalgic","technology, ritual, memory"
,coalface,2014,A3 foldout,,Coalface,active,foldout,"harsh, enduring, industrial","labour, struggle, survival"
,I did not invent,2014,A3 foldout,,You Sleep Uphill,active,foldout,"defiant, humble, existential","self, origin, authenticity"
,#13; the mongrel,2014,A3 foldout,,You Sleep Uphill,active,foldout,"hybrid, wild, untamed","identity, mix, resistance"
,tail lights,2014,A3 foldout,,Pastoral,active,foldout,"fleeting, observational, moving","departure, distance, memory"
,wander,2014,A3 foldout,,,active,foldout,"aimless, free, searching","journey, uncertainty, exploration"
,traction,2014,A3 foldout,,Coalface,active,foldout,"gripping, effortful, mechanical","progress, resistance, force"
,canary,2014,A3 foldout,,Coalface,active,foldout,"warning, fragile, symbolic","danger, sensitivity, labour"
,geek prayer #22,2014,A3 foldout,IBM punchcard cover; Also in Geek Prayers,Geek Prayers,active,foldout,"ritualistic, devotional, digital","code, faith, repetition"
,holiday,2014,A3 foldout,,Mixture of Wishes,active,foldout,"bittersweet, absent, ironic","escape, longing, absence"
,we already half dress for war,2015,A3 foldout,,You Sleep Uphill,active,foldout,"precarious, anticipatory, collective","conflict, readiness, society"
,The lover's table #3,2015,A3 foldout,,You Sleep Uphill,active,foldout,"intimate, domestic, fragile","love, relationship, care"
,entwined,2015,A3 foldout,,You Sleep Uphill,active,foldout,"connected, physical, inseparable","love, unity, bodies"
,currencies,2015,A3 foldout,,Coalface + Sleep Uphill,active,foldout,"exchange, value, unstable","economy, emotion, debt"
,nerves,2015,A3 foldout,,Coalface + Sleep Uphill,active,foldout,"tense, bodily, reactive","anxiety, sensitivity, response"
